"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_124573351","25-Eastridge-Circle-Mendon-VT-05701",43.610414,-72.935465,264900,3,3,3026,NA,NA
"zpid_49677758","16-Oak-Creek-Dr-South-Burlington-VT-05403",44.437553,-73.158386,427000,4,3,2522,NA,NA
"zpid_2098992658","135-E-Mountain-Road-1c4-1C4-Killington-VT-05751",43.629613,-72.794571,69900,2,2,900,NA,NA
"zpid_92257233","58-Foothills-Dr-Jericho-VT-05465",44.521864,-72.967706,369900,4,3,3628,NA,NA
"zpid_2099070847","8-Sanctuary-Cir-8-White-River-Junction-VT-05001",43.666149,-72.323459,299900,3,3,1841,NA,NA
"zpid_124789139","59-Hanley-Ln-Jericho-VT-05465",44.521495,-72.984727,299900,3,2,2400,NA,NA
"zpid_92254617","22-Pleasant-St-Essex-Junction-VT-05452",44.491525,-73.104041,299900,4,3,2885,NA,NA
"zpid_81613208","21-Glen-Ridge-Ln-Saint-Albans-VT-05478",44.90524,-73.065603,197000,3,1,1458,NA,NA
"zpid_2099347613","135-E-Mountain-Rd-1F9-Killington-VT-05751",43.629804,-72.794625,49900,0.5,1,646,NA,NA
"zpid_92250723","346-Broadlake-Rd-Colchester-VT-05446",44.542423,-73.284108,695000,3,3,2498,NA,NA
"zpid_75456845","236-W-Ridge-Ter-Rutland-VT-05701",43.61224,-72.944802,279000,4,3,2437,NA,NA
"zpid_118030062","195-Hook-Rd-Chelsea-VT-05038",43.988929,-72.515539,159000,NA,NA,NA,23,NA
"zpid_2108607703","57-Alpine-Dr-G-204-Killington-VT-05751",43.662076,-72.840399,115000,2,2,899,NA,NA
"zpid_75470803","265-Wildflower-Ln-Waterbury-Center-VT-05677",44.396922,-72.717875,490000,3,2,2995,NA,NA
"zpid_75446405","59-Bradshaw-Xrd-Chelsea-VT-05038",43.997138,-72.514855,265000,2,2,1600,NA,NA
"zpid_2099202992","183-Rays-Way-Hartford-VT-05001",43.691259,-72.395579,385000,3,3,3410,NA,NA
"zpid_75419720","124-Convent-Ave-Bennington-VT-05201",42.884684,-73.206924,155000,4,1,1068,NA,NA
"zpid_115814316","2680-Hartford-Ave-UNIT-36-White-River-Junction-VT-05001",43.683384,-72.317573,219900,2,3,1780,NA,NA
"zpid_2099891506","17C-Harlow-Hl-C-Randolph-VT-05060",43.935425,-72.642241,129900,2,2,1120,NA,NA
"zpid_92053542","43-Saunders-Ave-White-River-Junction-VT",43.658154,-72.316076,229900,4,2,2016,NA,NA
"zpid_12651227","80-Ward-St-Burlington-VT-05401",44.487434,-73.221176,199900,2,1,928,NA,NA
"zpid_124789902","35-Lower-Cir-Richmond-VT-05477",44.427109,-73.013541,15500,2,1,7200,NA,NA
"zpid_2098813806","41-Village-Gln-Essex-Junction-VT-05452",44.49347,-73.10055,165000,2,2,1024,NA,NA
"zpid_91993636","19-Mountain-Mdws-Ferrisburgh-VT-05456",44.207109,-73.220583,135000,3,2,1620,NA,NA
"zpid_92273826","699-Sand-Rd-Colchester-VT-05446",44.53399,-73.127392,269000,3,2,1408,NA,NA
"zpid_92048081","226-N-Main-St-Bethel-VT",43.835009,-72.63735,82000,3,1,1140,NA,NA
"zpid_12653346","271-Hildred-Dr-271-Burlington-VT-05401",44.485389,-73.194252,126900,NA,1,688,NA,1992
"zpid_92043684","970-Meadowbrook-Rd-Brattleboro-VT-05301",42.881698,-72.593502,164900,3,2,NA,2.63,NA
"zpid_2114056422","Rr-9-Marlboro-VT-05344",42.83715,-72.73828,50000,NA,NA,NA,16.5,NA
