"z_id","address","lat","long","price","saledate","pricepersqft","beds","baths","sqft","acres","yr_built"
"zpid_75475563","17-Reese-Cir-Bellows-Falls-VT-05101",43.131053,-72.461748,82575,"4/29/16",47,3,1,1750,0.5,1979
"zpid_92005738","161-Mountain-Rd-Stowe-VT-05672",44.46744,-72.688774,230000,"4/29/16",137,4,4,1668,0.75,1850
"zpid_75460621","466-Schoolhouse-Hill-Rd-West-Rutland-VT-05777",43.555845,-73.017838,175000,"4/29/16",84,3,2,2078,1.2,1973
"zpid_115808178","224-Evergreen-Woods-Rd-Waterbury-Center-VT-05677",44.365529,-72.694606,705000,"4/29/16",200,4,4,3512,5.85,2009
"zpid_92022073","59-Hillside-Rd-Rutland-VT-05701",43.622646,-72.960537,197500,"4/29/16",NA,NA,NA,NA,1.83,NA
"zpid_2098794584","274-Indian-Bay-Castleton-VT-05735",43.615314,-73.228839,236000,"4/28/16",170,3,1,NA,NA,NA
"zpid_92019514","12-Alta-Ter-Rutland-VT-05701",43.607813,-72.950461,125000,"4/28/16",68,3,2,1827,0.54,1961
"zpid_12648045","31-Simms-St-Burlington-VT-05408",44.518425,-73.26223,215000,"4/28/16",172,3,1,1248,714528888.933724,1953
"zpid_2099822282","21-Evans-Ln-Cambridge-VT-05444",44.64489,-72.91344,174000,"4/28/16",168,3,1,1040,NA,1999
"zpid_12649074","42-Moore-Dr-Burlington-VT-05408",44.514762,-73.240943,286500,"4/28/16",190,4,2,1504,9676402867.35445,1960
"zpid_49675498","33-Barrett-St-South-Burlington-VT-05403",44.461509,-73.173148,354000,"4/28/16",171,4,3,2064,991884260.83595,2014
"zpid_75434119","1971-Highgate-Rd-Saint-Albans-VT-05478",44.911749,-73.059269,236500,"4/28/16",120,3,2,1970,12.6,1972
"zpid_75480865","105-Ellisons-Lake-Rd-Ludlow-VT-05149",43.451286,-72.698249,420000,"4/27/16",187,3,2,2240,0.85,1959
"zpid_92293142","33-Audry-Ln-Westford-VT-05494",44.635805,-72.987518,285000,"4/27/16",114,3,3,2480,2.05,2003
"zpid_92255841","26-Edson-St-Burlington-VT-05408",44.518743,-73.262986,219500,"4/27/16",254,3,1,864,73151078.5572773,1955
"zpid_2098818807","274-Marble-St-West-Rutland-VT-05777",43.5984,-73.0497,119000,"4/26/16",41,4,3,NA,NA,NA
"zpid_2098834453","68-Jackson-Heights-Jeffersonville-VT-05464",44.635624,-72.831738,245000,"4/26/16",141,3,3,NA,NA,NA
"zpid_2098833595","99-Bushnell-Rd-Waitsfield-VT-05673",44.19632,-72.78271,308000,"4/25/16",192,3,2,NA,NA,NA
"zpid_2102927920","10-Griswold-Dr-Rutland-VT-05701",43.597665,-72.984013,129450,"4/25/16",78,3,1.5,1640,0.000723517098053269,2004
"zpid_92023315","6-Griswold-Dr-Rutland-VT-05701",43.597672,-72.983757,140000,"4/25/16",77,4,1.75,1808,0.000958489634506888,2004
"zpid_2112462458","151-N-Hill-Rd-Stowe-VT-05672",44.436355,-72.696336,617500,"4/25/16",185,4,3,3324,2.16,1973
