group,variable,value,mutation
SampleID-0708,PLEKHA1,Gain,
SampleID-0807,PLEKHA1,Gain,
SampleID-1705,PLEKHA1,HetLoss,
SampleID-2623,PLEKHA1,HetLoss,
SampleID-1453,PLEKHA1,HetLoss,
SampleID-1211,PLEKHA1,HetLoss,
SampleID-2652,PLEKHA1,HetLoss,
SampleID-2349,PLEKHA1,HetLoss,
SampleID-2742,PLEKHA1,HetLoss,
SampleID-1647,PLEKHA1,HetLoss,
SampleID-1171,PLEKHA1,HetLoss,
SampleID-2215,PLEKHA1,Gain,
SampleID-1941,PLEKHA1,Gain,
SampleID-1106,PLEKHA1,HetLoss,
SampleID-1340,PLEKHA1,HetLoss,
SampleID-0869,PLEKHA1,HetLoss,
SampleID-1727,PLEKHA1,HetLoss,
SampleID-1646,PLEKHA1,Gain,
SampleID-0052,PLEKHA1,Amp,
SampleID-2829,PLEKHA1,HetLoss,
SampleID-2353,PLEKHA1,Amp,
SampleID-0018,PLEKHA1,HetLoss,
SampleID-0017,PLEKHA1,HetLoss,
SampleID-1151,PLEKHA1,Gain,
SampleID-0019,PLEKHA1,HetLoss,
SampleID-2891,BRCA2,Gain,
SampleID-2921,BRCA2,Gain,
SampleID-2611,BRCA2,HetLoss,
SampleID-2432,BRCA2,HetLoss,
SampleID-2431,BRCA2,HetLoss,
SampleID-2742,BRCA2,HetLoss,
SampleID-2970,BRCA2,Gain,
SampleID-1909,BRCA2,HetLoss,
SampleID-2488,BRCA2,Gain,SNV
SampleID-2061,BRCA2,HetLoss,
SampleID-2349,BRCA2,HetLoss,
SampleID-1106,BRCA2,HetLoss,
SampleID-1941,BRCA2,HetLoss,
SampleID-2328,BRCA2,Gain,SNV
SampleID-0052,BRCA2,HetLoss,
SampleID-1350,BRCA2,HetLoss,
SampleID-1408,BRCA2,HetLoss,
SampleID-1906,BRCA2,HetLoss,
SampleID-2055,BRCA2,HetLoss,SNV
SampleID-0869,BRCA2,HetLoss,
SampleID-1037,BRCA2,HetLoss,
SampleID-2721,BRCA2,Amp,
SampleID-2353,BRCA2,HetLoss,
SampleID-1991,BRCA2,Gain,
SampleID-2515,BRCA2,HetLoss,
SampleID-1647,BRCA2,HetLoss,
SampleID-1167,BRCA1,HetLoss,
SampleID-2431,BRCA1,HetLoss,
SampleID-0052,BRCA1,HetLoss,
SampleID-1705,BRCA1,HetLoss,
SampleID-1991,BRCA1,HetLoss,
SampleID-1106,BRCA1,HetLoss,
SampleID-0017,BRCA1,HetLoss,
SampleID-1941,BRCA1,HetLoss,
SampleID-0869,BRCA1,HetLoss,
SampleID-1242,BRCA1,HetLoss,
SampleID-0012,BRCA1,HetLoss,SNV
SampleID-1453,BRCA1,HetLoss,
SampleID-1883,BRCA1,HetLoss,
SampleID-1408,BRCA1,HetLoss,Fusion
SampleID-1475,BRCA1,HetLoss,
SampleID-2468,BRCA1,HetLoss,
SampleID-0033,BRCA1,HetLoss,
SampleID-1171,BRCA1,HetLoss,SNV
SampleID-2697,BRCA1,HetLoss,
SampleID-2810,BRCA1,HetLoss,
SampleID-2921,BRCA1,HetLoss,
SampleID-2328,BRCA1,HetLoss,
SampleID-2308,BRCA1,HetLoss,
SampleID-1967,BRCA1,HetLoss,
SampleID-1365,BRCA1,HetLoss,
SampleID-2055,BRCA1,HetLoss,
SampleID-2891,BRCA1,HetLoss,
SampleID-2829,BRCA1,HetLoss,
SampleID-2518,BRCA1,HetLoss,
SampleID-2721,BRCA1,HetLoss,
SampleID-1647,BRCA1,Gain,
SampleID-1037,BRCA1,HetLoss,
SampleID-2061,BRCA1,HetLoss,Deletion
SampleID-2623,BRCA1,HetLoss,
SampleID-2515,BRCA1,Gain,
SampleID-1478,BRCA1,Gain,
SampleID-1340,BRCA1,Gain,
SampleID-0018,EGFR,Amp,
SampleID-1171,EGFR,Amp,
SampleID-1211,EGFR,Gain,
SampleID-1374,EGFR,HetLoss,
SampleID-1705,EGFR,Gain,
SampleID-1906,EGFR,Gain,
SampleID-0807,EGFR,Gain,
SampleID-1260,EGFR,Gain,
SampleID-0708,EGFR,Gain,
SampleID-2891,EGFR,Amp,
SampleID-2721,EGFR,Gain,
SampleID-2353,EGFR,HetLoss,
SampleID-2616,EGFR,Gain,
SampleID-0473,EGFR,Gain,
SampleID-2397,EGFR,Gain,
SampleID-1037,EGFR,Gain,SNV
SampleID-1647,EGFR,Gain,
SampleID-0670,EGFR,Gain,
SampleID-1453,EGFR,Gain,
SampleID-2468,EGFR,Gain,
SampleID-1151,EGFR,Gain,
SampleID-2208,EGFR,Gain,
SampleID-1909,EGFR,Gain,
SampleID-2640,EGFR,HetLoss,
SampleID-0012,EGFR,HetLoss,
SampleID-0052,EGFR,Gain,
SampleID-2432,EGFR,Gain,
SampleID-2515,EGFR,Gain,
SampleID-2921,EGFR,Gain,
SampleID-2697,EGFR,Gain,
SampleID-2328,EGFR,Amp,
SampleID-0017,EGFR,HetLoss,
SampleID-1018,EGFR,Gain,
SampleID-1059,EGFR,Gain,
SampleID-2518,EGFR,HetLoss,
SampleID-1124,EGFR,HetLoss,
SampleID-1475,EGFR,Amp,
SampleID-2623,NOTCH1,HetLoss,
SampleID-1906,NOTCH1,HetLoss,
SampleID-0019,NOTCH1,Gain,
SampleID-1242,NOTCH1,HetLoss,
SampleID-2055,NOTCH1,HetLoss,SNV
SampleID-2697,NOTCH1,HetLoss,
SampleID-1124,NOTCH1,Gain,
SampleID-0869,NOTCH1,HetLoss,
SampleID-1408,NOTCH1,HetLoss,Deletion
SampleID-1714,NOTCH1,Gain,
SampleID-1941,NOTCH1,Gain,SNV
SampleID-1037,NOTCH1,Gain,
SampleID-2488,NOTCH1,Gain,
SampleID-2616,NOTCH1,Gain,
SampleID-2279,NOTCH1,HetLoss,
SampleID-1151,NOTCH1,HetLoss,
SampleID-1211,NOTCH1,HetLoss,
SampleID-2349,NOTCH1,HetLoss,
SampleID-2061,NOTCH1,HetLoss,
SampleID-0033,NOTCH1,Gain,
SampleID-2215,NOTCH1,HetLoss,
SampleID-2431,NOTCH1,HetLoss,
SampleID-1684,NOTCH1,Gain,
SampleID-1646,NOTCH1,HetLoss,Fusion
SampleID-0033,BRCA2,,
SampleID-0033,EGFR,,
SampleID-0033,PLEKHA1,,
SampleID-1365,BRCA2,,
SampleID-1365,NOTCH1,,
