Name, HighestMaxTemperature, mcnt
BENNINGTON MORSE ST AP, 92, 1
TOWNSHEND LAKE, 92, 2
BALL MTN LAKE, M, 217
GRAFTON 1NW, M, 319
PERU, M, 54
N SPRINGFIELD LAKE, 93, 0
SPRINGFIELD HARTNESS AP, 93, 1
DANBY FOUR CORNERS, M, 354
RUTLAND STATE AP, M, 24
NORTH HARTLAND LAKE, 92, 0
WOODSTOCK, M, 10
RUTLAND, 90, 0
UNION VILLAGE DAM, 94, 0
ROCHESTER, M, 16
CORNWALL, 96, 0
CORINTH, M, 6
NORTHFIELD, M, 90
BARRE MONTPELIER AP, 90, 0
PASSUMPSIC, 100, 1
WAITSFIELD 2 SE, 88, 0
ISLAND POND AP, M, 249
GALLUP MILLS, 87, 0
BRATTLEBORO 3N, M, 19
AVERILL, M, 9
ELMORE VERMONT, 89, 2
ESSEX JUNCTION VERMONT, 96, 3
NULHEGAN VERMONT, M, 30
SWEEZY VERMONT, 92, 3
JOHNSON 2 N, 87, 3
VERGENNES, M, 19
SAINT JOHNSBURY, 91, 0
MT MANSFIELD, 76, 0
SOUTH HERO, 95, 0
EAST HAVEN, M, 12
SUTTON 2 NE, M, 9
ENOSBURG FALLS, M, 58
SOUTH LINCOLN, 87, 0
SUNDERLAND 2, M, 80
ISLAND POND, 86, 3
ENOSBURG FALLS 2, 92, 4
SUTTON, 86, 0
MONTPELIER 2, M, 23
MORRISVILLE STOWE STATE AP, M, 6
BURLINGTON WSO AP, 96, 0
NEWPORT, M, 31
PLAINFIELD, 90, 4
WORCESTER 2 W, M, 10
Burlington Area, 96, 0
WALDEN 4N, 84, 0
