Name, MeanAvgTemperature, mcnt
BENNINGTON MORSE ST AP, 48.2, 1
TOWNSHEND LAKE, 48.4, 2
BALL MTN LAKE, M, 217
GRAFTON 1NW, M, 319
PERU, M, 59
N SPRINGFIELD LAKE, 47.2, 0
SPRINGFIELD HARTNESS AP, 47.1, 1
DANBY FOUR CORNERS, M, 354
RUTLAND STATE AP, M, 24
NORTH HARTLAND LAKE, 45.8, 0
WOODSTOCK, M, 10
RUTLAND, 46.3, 0
UNION VILLAGE DAM, 46.2, 0
ROCHESTER, M, 19
CORNWALL, 47.6, 0
CORINTH, M, 6
NORTHFIELD, M, 92
BARRE MONTPELIER AP, 44.5, 0
PASSUMPSIC, 52.8, 1
SAINT JOHNSBURY, 46.2, 0
MT MANSFIELD, 37.3, 0
SOUTH HERO, 48.5, 0
EAST HAVEN, M, 12
SUTTON 2 NE, M, 14
ENOSBURG FALLS, M, 59
SOUTH LINCOLN, 43.1, 0
SUNDERLAND 2, M, 80
ISLAND POND, 42.7, 3
ENOSBURG FALLS 2, 44.8, 5
SUTTON, 42.7, 0
MONTPELIER 2, M, 24
MORRISVILLE STOWE STATE AP, M, 6
BURLINGTON WSO AP, 49.3, 0
NEWPORT, M, 31
PLAINFIELD, 42.5, 4
WORCESTER 2 W, M, 11
Burlington Area, 49.3, 0
WALDEN 4N, 39.6, 0
WAITSFIELD 2 SE, 44.7, 0
ISLAND POND AP, M, 249
GALLUP MILLS, 41.9, 0
BRATTLEBORO 3N, M, 19
AVERILL, M, 9
ELMORE VERMONT, 44.8, 3
ESSEX JUNCTION VERMONT, 48.7, 5
NULHEGAN VERMONT, M, 31
SWEEZY VERMONT, 48.4, 5
JOHNSON 2 N, 43.2, 4
VERGENNES, M, 19
