Name, LowestMinTemperature, mcnt
BENNINGTON MORSE ST AP,-17,1
TOWNSHEND LAKE,-14,2
BALL MTN LAKE,-18,217
GRAFTON 1NW,-8,319
PERU,-22,53
N SPRINGFIELD LAKE,-15,0
SPRINGFIELD HARTNESS AP,-15,1
DANBY FOUR CORNERS,-5,354
RUTLAND STATE AP,-17,24
NORTH HARTLAND LAKE,-17,0
WOODSTOCK,-15,8
RUTLAND,-17,0
UNION VILLAGE DAM,-16,0
ROCHESTER,-17,15
CORNWALL,-17,0
CORINTH,-25,6
NORTHFIELD,-16,92
BARRE MONTPELIER AP,-19,0
PASSUMPSIC,-14,1
WAITSFIELD 2 SE,-8,0
ISLAND POND AP,-16,249
GALLUP MILLS,-27,0
BRATTLEBORO 3N,-14,19
AVERILL,-26,9
ELMORE VERMONT,-21,2
ESSEX JUNCTION VERMONT,-16,3
NULHEGAN VERMONT,-23,30
SWEEZY VERMONT,-17,3
JOHNSON 2 N,-22,4
VERGENNES,-15,19
SAINT JOHNSBURY,-18,0
MT MANSFIELD,-32,0
SOUTH HERO,-17,0
EAST HAVEN,-23,11
SUTTON 2 NE,-25,14
ENOSBURG FALLS,-21,58
SOUTH LINCOLN,-27,0
SUNDERLAND 2,-22,79
ISLAND POND,-25,3
ENOSBURG FALLS 2,-24,5
SUTTON,-25,0
MONTPELIER 2,-14,24
MORRISVILLE STOWE STATE AP,-17,6
BURLINGTON WSO AP,-13,0
NEWPORT,-21,31
PLAINFIELD,-23,4
WORCESTER 2 W,-20,11
Burlington Area,-13,0
WALDEN 4N,-27,0
